Loss 3.313313683737879e-05, Test Accuracy 0.9864782547173293, Train Accuracy 0.9998664596065971, Val Accuracy 0.9764999904062437, Test Seq Accuracy 0.689, Train Seq Accuracy 0.9970714285714297, Val Seq Accuracy 0.5320000000000001
Loss 3.3907169658366754e-05, Test Accuracy 0.9924130384040916, Train Accuracy 1.0, Val Accuracy 0.9821195573910423, Test Seq Accuracy 0.8254999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6054999999999999
Loss 1.3866631374896869e-05, Test Accuracy 0.993358692008516, Train Accuracy 1.0, Val Accuracy 0.9827825992003731, Test Seq Accuracy 0.8472500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6139999999999999
Loss 1.0005494518934384e-05, Test Accuracy 0.9930434733629226, Train Accuracy 1.0, Val Accuracy 0.9832499922617622, Test Seq Accuracy 0.8400000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.627
Loss 0.0013291647090860035, Test Accuracy 0.9980434761099194, Train Accuracy 0.999939958637052, Val Accuracy 0.9809782511514166, Test Seq Accuracy 0.9549999999999998, Train Seq Accuracy 0.9986190476190483, Val Seq Accuracy 0.60025
Loss 4.8552179182677165e-05, Test Accuracy 0.9948369528936303, Train Accuracy 0.9999182195396897, Val Accuracy 0.9771956434716349, Test Seq Accuracy 0.88125, Train Seq Accuracy 0.9981190476190486, Val Seq Accuracy 0.52475
Loss 1.4177613395630665e-05, Test Accuracy 0.9949999973825786, Train Accuracy 1.0, Val Accuracy 0.970706509636796, Test Seq Accuracy 0.8850000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4454999999999999
Loss 0.00014076212866474754, Test Accuracy 0.9857282534889553, Train Accuracy 0.9999989648042998, Val Accuracy 0.9776086868151375, Test Seq Accuracy 0.6717500000000001, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.5225
Loss 6.491277346630459e-05, Test Accuracy 0.9903478188359219, Train Accuracy 0.999972049703756, Val Accuracy 0.9806195589511291, Test Seq Accuracy 0.778, Train Seq Accuracy 0.9993571428571432, Val Seq Accuracy 0.5767499999999999
Loss 1.0937192912577935e-05, Test Accuracy 0.9877499931532404, Train Accuracy 1.0, Val Accuracy 0.9772391241529713, Test Seq Accuracy 0.71825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.47649999999999987
